"Gene","AGM.4.lfc","Cyno.4.lfc","AGM.7.lfc","Cyno.7.lfc","AGM.10.lfc","AGM.≥14/Term.lfc","Cyno.≥14/Term.lfc","AGM.4.padj","Cyno.4.padj","AGM.7.padj","Cyno.7.padj","AGM.10.padj","AGM.≥14/Term.padj","Cyno.≥14/Term.padj"
"ABCC10",-0.0259924544253031,0.336292675145284,-1.81551594495216e-06,0.353419772210665,6.33633907168708e-06,0.571293659080775,0.72743000122553,0.00120738588542323,0.00795291480610549,0.00120738588542323,0.00795291480610549,0.00120738588542323,0.00120738588542323,0.00795291480610549
"ABCC11",-0.00531347164834722,0.0222570490123924,-2.74147016003263e-06,-0.055892638876468,-2.66479837345981e-07,-0.060511146461684,0.18726175476048,0.490834230047062,0.389252875521669,0.490834230047062,0.389252875521669,0.490834230047062,0.490834230047062,0.389252875521669
"ABCC12",0.00411887005815444,0.00497330151627315,1.57023409877405e-07,-0.00671266289946546,-1.33885157365828e-07,-0.0656233614156612,-0.0252836429057604,0.510622633400803,0.996007598132655,0.510622633400803,0.996007598132655,0.510622633400803,0.510622633400803,0.996007598132655
"ABCC2",-0.0121320263327501,-0.0812503822157823,9.08830024082869e-09,-0.0217679904525478,1.27661559848776e-06,0.0711878051569515,0.111935798398597,0.842029369347461,0.837515113014575,0.842029369347461,0.837515113014575,0.842029369347461,0.842029369347461,0.837515113014575
"ABCC3",-0.00221984258365199,0.037837425717015,-4.99541354425564e-08,0.0464636152125243,5.14362810684668e-07,0.104536793549212,0.194773212714398,0.838631624643246,0.881432069632321,0.838631624643246,0.881432069632321,0.838631624643246,0.838631624643246,0.881432069632321
"ABCC4",-0.00139267552546888,-0.0191260818334733,-1.28269876540111e-06,0.0500793352063552,-1.27385183695573e-06,-0.811357324891577,-0.310034155991228,0.138853250991211,0.528422172202172,0.138853250991211,0.528422172202172,0.138853250991211,0.138853250991211,0.528422172202172
"ABCC5",-0.014190569004235,0.100234329293418,-1.23299368019014e-06,0.0138382527867991,-1.99375756813666e-06,-0.0815089942829532,-0.024067636222003,0.989841762834107,0.914781621934159,0.989841762834107,0.914781621934159,0.989841762834107,0.989841762834107,0.914781621934159
"ABCC6",-0.0332765124431664,0.503230405839903,1.93388894737753e-06,0.154460810700133,-5.18492550510355e-07,-0.0766960025558128,0.240476961563227,0.43304440691454,0.337110585930335,0.43304440691454,0.337110585930335,0.43304440691454,0.43304440691454,0.337110585930335
"ABCC8",-0.00753776953800643,0.0288945460521162,1.9741937803742e-06,0.0556646903820905,6.56480019934632e-07,0.00814952414039582,0.718351473400382,0.844407483237594,0.269419915384071,0.844407483237594,0.269419915384071,0.844407483237594,0.844407483237594,0.269419915384071
"ABCC9",0.00152207839528595,0.189018227622256,9.56263437970882e-07,0.0110798285450495,-1.08771303306272e-06,-0.0382019815230289,0.365593316520576,0.946493113913493,0.402596494157919,0.946493113913493,0.402596494157919,0.946493113913493,0.946493113913493,0.402596494157919
"ABCD2",-0.0143024991461003,-0.339926130987264,-1.67959483763981e-06,-0.536442356325073,-1.91105267157882e-06,-2.38224695753303,-0.565390049001592,0.000261210053594284,0.134639474587179,0.000261210053594284,0.134639474587179,0.000261210053594284,0.000261210053594284,0.134639474587179
"ABCD3",-0.0112675140275482,-0.706164851250633,3.62749313576288e-06,-0.658339373953119,2.59461379318304e-06,0.00442456818265921,-0.947360783717228,0.969748110878856,3.17419743885557e-06,0.969748110878856,3.17419743885557e-06,0.969748110878856,0.969748110878856,3.17419743885557e-06
"ABCD4",-0.0197301459059664,0.0408682652442362,-9.61959061559663e-07,0.0831048796267969,2.63725541340569e-06,0.461948295750108,0.102991981557784,0.0223328269940583,0.95359327813764,0.0223328269940583,0.95359327813764,0.0223328269940583,0.0223328269940583,0.95359327813764
"ABCE1",0.00429111245866646,-0.684148570272638,3.60878688066473e-06,-0.635042878169254,5.4629763697972e-07,0.0503330249184061,-0.474937581258363,0.990478728793805,3.59289990676802e-05,0.990478728793805,3.59289990676802e-05,0.990478728793805,0.990478728793805,3.59289990676802e-05
"ABCF1",0.0161951885644567,0.445346400858785,-2.73617188468695e-06,0.452916862322751,2.8119984518637e-07,0.127859081032558,0.773707312764918,0.774462279622435,0.0412260567716611,0.774462279622435,0.0412260567716611,0.774462279622435,0.774462279622435,0.0412260567716611
"ABCF2",0.0485885900157483,0.168078024972972,1.92650795731935e-06,0.264184646340076,4.62987225369899e-06,-0.00996118911374719,0.764297290645114,0.780563012591005,0.0365291594467595,0.780563012591005,0.0365291594467595,0.780563012591005,0.780563012591005,0.0365291594467595
"ABCF3",0.0216548697470386,0.332370474696646,-1.13514812557156e-06,0.228903366786618,-7.00363490634264e-07,0.188671803362492,0.132495800112034,0.582353906972044,0.322773971455796,0.582353906972044,0.322773971455796,0.582353906972044,0.582353906972044,0.322773971455796
"ABCG1",-0.0123241480108526,0.175702594140081,3.65247656800234e-07,0.0558889981404229,5.09377704093473e-06,0.30979216282925,0.527906026013413,0.0750801974235659,0.389896903302256,0.0750801974235659,0.389896903302256,0.0750801974235659,0.0750801974235659,0.389896903302256
"ABCG4",0.00359954727070282,0.0209036705994148,1.26420007942664e-06,0.0297047596054431,3.9768212365233e-07,0.0405662745103353,0.282469718841603,0.91928807455299,0.602281930096653,0.91928807455299,0.602281930096653,0.91928807455299,0.91928807455299,0.602281930096653
"ABCG5",-0.00284868966682867,-0.0922277782780982,-9.69510094289692e-07,-0.0544283196423083,-7.13948908169077e-07,-0.000373584949424762,-0.033349545944429,0.999994331261179,0.933911576433532,0.999994331261179,0.933911576433532,0.999994331261179,0.999994331261179,0.933911576433532
"ABCG8",-0.00665755332269228,0.0209744497178503,1.75252595275752e-06,-0.0477085945132242,-1.80593385249837e-06,-0.192871735024091,0.0950443504333499,0.217323235355233,0.84729777431616,0.217323235355233,0.84729777431616,0.217323235355233,0.217323235355233,0.84729777431616
"ABHD1",-0.00997300302879094,0.176709668782816,5.47931194578535e-06,0.177388860453238,3.21836949489892e-06,-0.0860175889155308,0.168415015335291,0.438898468673241,0.71606491955442,0.438898468673241,0.71606491955442,0.438898468673241,0.438898468673241,0.71606491955442
"ABHD10",0.00307324087151685,-0.333121634252541,8.07105506916777e-09,-0.227327453155746,-3.6728719317434e-06,-0.0754654710782433,0.393953531200458,0.927858443362625,0.0208424935132515,0.927858443362625,0.0208424935132515,0.927858443362625,0.927858443362625,0.0208424935132515
"ABHD11",0.0176413386806949,0.360257937807018,6.77341183636506e-07,0.388281046940317,-1.93572490854306e-07,0.0639478192137184,0.852142450832649,0.973741431513188,0.00749874498099402,0.973741431513188,0.00749874498099402,0.973741431513188,0.973741431513188,0.00749874498099402
"ABHD12",-0.0567153966003427,0.154897345532333,-7.88040042452262e-06,0.132661157474182,-4.34609543983169e-06,0.0685078549946762,0.15670246322901,0.268661455872056,0.784768584913392,0.268661455872056,0.784768584913392,0.268661455872056,0.268661455872056,0.784768584913392
"ABHD12B",-0.0013465285073617,0.00411194825122826,-2.31687281370798e-06,-0.122725075579452,-9.50469682855603e-07,-0.027466700419098,-0.916188712557087,0.778327713119822,0.129284612686987,0.778327713119822,0.129284612686987,0.778327713119822,0.778327713119822,0.129284612686987
"ABHD13",0.00618869705530603,-0.983205830284675,2.98783134380094e-07,-0.682185254216119,-2.75057701296673e-06,-0.145903965135402,-0.69614534267999,0.784678760228218,0.0043142419496415,0.784678760228218,0.0043142419496415,0.784678760228218,0.784678760228218,0.0043142419496415
"ABHD15",0.0172683602441777,0.565679120070788,-6.56241641378942e-06,0.665264084160023,-2.27350684955239e-06,-0.318175781964221,0.52061549562469,0.129091280078318,0.0296764077934607,0.129091280078318,0.0296764077934607,0.129091280078318,0.129091280078318,0.0296764077934607
