"Gene","AGM.9530537.4.lfc","Cyno.9530537.4.lfc","AGM.Malale.4.lfc","Cyno.Malale.4.lfc","AGM.9530537.7.lfc","Cyno.9530537.7.lfc","AGM.Malale.7.lfc","Cyno.Malale.7.lfc","AGM.9530537.10.lfc","AGM.Malale.10.lfc","Cyno.Malale.10.lfc","AGM.9530537.≥14/Term.lfc","Cyno.9530537.≥14/Term.lfc","AGM.Malale.≥14/Term.lfc","Cyno.Malale.≥14/Term.lfc","AGM.9530537.4.padj","Cyno.9530537.4.padj","AGM.Malale.4.padj","Cyno.Malale.4.padj","AGM.9530537.7.padj","Cyno.9530537.7.padj","AGM.Malale.7.padj","Cyno.Malale.7.padj","AGM.9530537.10.padj","AGM.Malale.10.padj","Cyno.Malale.10.padj","AGM.9530537.≥14/Term.padj","Cyno.9530537.≥14/Term.padj","AGM.Malale.≥14/Term.padj","Cyno.Malale.≥14/Term.padj"
"ABCA5",-0.213437910698991,-0.216487683516786,-0.160405931441806,-0.315619274684019,-0.221663845286708,-0.19046401891496,-0.18802225698588,-0.211696027399764,-0.352934411015021,-0.111078586212638,0.0104380488078463,-0.522021590551092,-0.235405682240396,-0.246939095903838,-0.194899109537454,0.45785956848526,0.570835211194353,0.449958229646734,0.220299223689201,0.373277661949825,0.594704680826188,0.356376820329102,0.428638563756318,0.161065303276777,0.595106264686598,0.97470867833277,0.0128596719262428,0.445069423168156,0.230384675550806,0.348798039317038
"ABCA6",0.639615322311385,1.00093832133578,1.31958402885359,0.220695054166812,0.021996938883093,-0.109718836727012,-0.112890312720026,0.124925078537654,-0.202008679431448,-1.74586851162068,-0.302741592465885,-3.06331238152893,0.259663940942001,-2.20606446193322,-0.209548466675802,0.121321383432606,0.0562760208565421,0.000835988876401596,0.479609746487108,0.953070530289251,0.775171143489278,0.718318587494621,0.735001995783012,0.5275931566073,1.28040107967231e-05,0.34875192075399,7.77870168512369e-11,0.498806016306615,2.9765271917072e-07,0.509181103795987
"ABCA7",0.07990802834682,-0.0948073414634764,-0.0942513410873502,0.579904250359027,0.291621895282594,-0.115779348104281,0.10461499226351,0.580641980897263,0.169617188634231,0.246906346206768,0.504518071801621,-0.532170904085879,-0.520408335210355,0.119599565214411,0.453931762166562,0.780208658061838,0.833006249390316,0.690503779174041,0.0284753756517161,0.134885518404494,0.744197562717703,0.637665762879992,0.0238745042442239,0.438605048926531,0.231359655806774,0.0478130453614935,0.000787191159398898,0.0410291938456961,0.579235472473352,0.0252840063320634
"ABCA8",0.0078658528380658,-0.0973150288035965,0.0961476739177003,-0.976990794605092,0.610373604114542,0.243527806654945,0.648345861374731,-0.629286303430582,0.458339833207552,0.452957389646662,-0.536607517219344,1.31224142039392,-0.122220585952997,0.456139474877128,-0.819147276991683,0.985915923192037,0.790397649484874,0.736078956615677,0.0235851272344716,0.048024435502814,0.504807610026408,0.0308143415106912,0.0900810527780164,0.144077941170318,0.12104749920725,0.123757461282698,4.93055489688554e-06,0.746889575641345,0.151615410753536,0.0173315568946339
"ABCA9",0.218087698490268,0.0632835258368575,0.845202648140189,0.364600257668456,-0.420321820791384,-0.0396318523651658,-0.535147643344544,0.100316878613178,-0.690830782282495,-1.64516862431478,0.215023518513297,-1.66046521433803,0.624359621629211,-1.53412354688761,0.270168623060563,0.506920160217889,0.871577355932831,0.0103557048857293,0.245797971905122,0.197634679317914,0.919568489622172,0.0848765186524356,0.781161445041748,0.0650122540140852,1.03900014383656e-05,0.501758678546284,2.46620727592119e-05,0.133073849940807,0.000159240385580649,0.446282726930254
"ABCB10",-0.323531386699777,-0.0435301665289963,-0.0289723955929991,0.164838499490203,-0.469096970041003,-0.593174730227561,-0.295612189042803,-0.0381641843089431,-0.497772677798897,-0.400901681761021,-0.130547914771968,-0.660446942960079,-0.645717301728555,-0.627036472133801,-0.329124248510842,0.0701446539317849,0.914628233164985,0.89335654532939,0.363765980987354,0.00311640390784631,0.00421152388517879,0.023669536421514,0.852839778922374,0.00191360809897094,0.00147556369560419,0.465075884952968,3.2905979983199e-07,0.000323467410290923,6.52802096796603e-07,0.00562539380887768
"ABCB11",-0.0374928353534,0.0657539798260005,-0.457125659957492,-0.602339067068149,-0.0203619725439455,0.0638997999104544,-0.308356250172239,-0.731897378404852,-0.0681785986281092,-0.857477433434832,-1.25072990061916,1.13516912663832,-0.0805136123466363,-0.236281556699121,-1.02611995752335,0.914732036728782,0.899660230175433,0.10014965371324,0.0501145448851648,0.953544192783882,0.890176199801905,0.280353823126927,0.0172801815810181,0.841013240752032,0.00703816028054916,0.000235640821904799,0.00277289536034971,0.822730002844756,0.451124601262529,0.000107929199987818
"ABCB4",-0.878929133500675,-0.620011047752445,-0.855226130598158,-0.952527061988967,-0.718396276582543,-0.952152590118222,-1.27393260543852,-1.25044978357013,-0.566407458253822,-0.83970397789147,-0.804940321783113,0.214413673534588,-0.15805059012427,-0.0390398917928765,-0.858837633799637,0.000482828332574053,0.0537066388305212,2.40435104266007e-05,0.00125002432781633,0.00313768779896934,0.00348461103765904,2.8043401505179e-10,1.68034755570683e-05,0.0198657346987187,2.35691320400281e-05,0.0042915309811502,0.305046344597775,0.597694307096024,0.87136700723661,0.00012381419394682
"ABCB5",-0.184058414102825,0.0473957953776866,-0.698749355213983,-0.106471199292048,-0.396191386637457,-0.0975843801223337,-0.826251761161607,-0.261349124383672,-0.967024471296424,-0.840492465866063,-0.0852498192681161,-0.302544150809526,1.50370002603727,-0.627227133530673,-0.0905941989763307,0.568518962834363,0.912435808014405,0.0128322080821221,0.743807384991625,0.169908724910202,0.775846315300014,0.00402185471668538,0.439248590276614,0.00486079791315895,0.0028863122397119,0.8030482344078,0.267622575679785,0.00471916152161488,0.0360090127868232,0.780726719137581
"ABCB6",-0.118849125562916,-0.232912220791487,-0.337100118256714,0.138132586590661,-0.278982688743173,-0.36490874661604,-0.788770277041245,0.263952045879863,-0.324316095764116,-0.23426899294058,0.219492257830531,0.61044699163036,-0.417896596947854,-0.137686082721912,0.107467787187876,0.727824837635464,0.397204642365597,0.0392417341265114,0.567092845071557,0.371355970637453,0.154997131493812,9.12484407875386e-07,0.210585962380614,0.314059959507898,0.145314237367294,0.303989149813275,0.0457030765211483,0.0444579137449964,0.450589596704697,0.545102007449542
"ABCB7",0.297272172447104,0.577331141397569,0.322703324544172,0.498555286099327,-0.0971152733430731,0.286338169779778,0.093833746244442,0.309331347409102,-0.188600523731615,-0.197900642138356,0.203553846122436,-0.37036170993433,0.0196791376365289,-0.350941568810754,-0.0384237013898061,0.0243321826834372,0.00173126320642666,0.000393279747257058,0.00242879079533143,0.489414064361539,0.170080935594587,0.36623474422744,0.0591316691676225,0.159017627213133,0.03515426271109,0.237615354749005,0.000282112488368308,0.928815972038661,0.00025768517843363,0.795029852778818
"ABCB8",0.0650494120441238,-0.0219672845872105,-0.084786420660649,0.612324953327843,0.542126279731221,0.151576520440104,0.284632192344312,0.798987239117146,0.429099792720121,0.235712369104045,0.829491429228623,0.0545710027378992,-0.374272482688466,0.0616000659458179,0.707670576312128,0.831439257537669,0.967263897487325,0.697753972718012,0.00483960294577693,0.00468419758450662,0.650363285172647,0.0962597271080855,0.000134772590669437,0.0319238438778289,0.1707426032024,7.70341138928223e-05,0.782499120304791,0.158086135829836,0.771201479855274,2.5924315939857e-05
"ABCB9",-0.0852393904967266,0.137435523990182,-0.200390050305885,-0.120025632466453,0.296258963118448,0.466154412200801,0.114853832444919,-0.0896034894963656,0.262363658754085,0.485306248073476,-0.125881108716956,0.774950165898973,0.232990472381891,0.858660040547093,0.0187957232750045,0.776085375459772,0.73320157913835,0.294711665016743,0.705154109884047,0.149771190300617,0.262295306479486,0.556024954039152,0.799056943669599,0.225243164341808,0.00317235703616933,0.699107231687353,5.42147247590009e-06,0.549472649148317,6.59897568729515e-07,0.957320384744425
"ABCC1",0.413248825978327,0.355188964551064,0.0150225359477658,0.87932270794943,0.428711660541429,0.237518478317399,0.523988740027573,0.90876765505223,0.610846266436154,0.668216243845282,0.654304509636926,0.625409064624297,-0.0628302114670743,0.83433492040029,0.447185941559893,0.00712444859870008,0.155305117331747,0.940735966592195,5.39602660500973e-07,0.00322759051411143,0.349978470491391,7.05511103495842e-06,1.1923941322298e-07,3.06750015362028e-05,6.35149919541215e-09,0.000164137529832782,1.38573391789471e-07,0.778228040741264,4.79378473438643e-13,0.000862937123476204
"ABCC10",0.167649754631547,-0.0783331877849878,-0.0796580898409522,0.352310421447236,0.326876836172333,-0.0120512887972465,0.220097206191928,0.468730133845963,0.0852589149738611,0.314820180958364,0.433999698752953,-0.476044449155069,-0.560826180438452,0.161156931814529,0.230018217920038,0.421817609689912,0.780018012952007,0.627416415150835,0.0135428169959595,0.0401761682401677,0.967798986535899,0.0854475734442077,0.000447173392306978,0.648146133882778,0.00977534480224337,0.00140147678491283,0.000224030129321397,2.73544296579636e-05,0.21635966882626,0.0322753053929951
"ABCC11",-1.00926144503024,0.0368011060804139,-2.59971695113311,0.0415894391933702,-0.411596579494382,0.389771854156541,-3.09774592494812,-0.193677643251572,-0.354969563993126,-1.2376819967481,-0.159770776090118,-0.41570846399268,1.47155426594592,-1.98483535447021,2.43573815120045,0.0362427247472449,0.94013024069844,2.76437144917014e-11,0.88932232951553,0.213124275588635,0.316824895183261,2.44751522510668e-15,0.535998453077188,0.282852822559233,0.000570297214888981,0.580228230157802,0.255378253621973,0.000860271958928315,3.34520163535943e-07,4.927030130531e-06
"ABCC12",-0.0106448199267495,0.00546889755302838,-0.0141044757894327,0.167602771700047,-0.50065208251177,0.32624584206196,-1.75539574102639,0.611604363698219,-1.7549272907452,-2.98083467913069,-0.120544146630156,-1.19862953768875,-1.09210872666717,-3.65455064692902,-0.910737091817808,0.968094789855849,0.990903071661679,0.966034540564723,0.506127031536612,0.117087828903113,0.382419251763664,6.41411158682973e-08,0.142867469763402,0.00505830090189225,8.25973785287112e-20,0.643764902168688,0.0124477311127771,0.0622840473413341,1.23816698815703e-27,0.0545922310364242
"ABCC2",-0.190335332338439,0.0512427569142932,-0.225878286589186,0.187221753539719,-0.275538017203956,0.143772034728883,-0.0932234868279245,0.510099757591308,-0.285207572647544,0.00261523330587375,0.261218943852769,-0.236875497385884,-1.18265161625864,0.185600674066477,-0.447146405638972,0.457934961660836,0.918280046891981,0.31997263839145,0.519358147087347,0.186614936372299,0.6877343261274,0.710005166018353,0.0742251382705071,0.187565680302284,0.995758030289095,0.350722359944444,0.189997215409439,3.01518339401904e-05,0.447005096632977,0.0551286212485345
"ABCC3",0.618351820042236,0.30829294613251,0.337810051346133,0.32550634267212,0.742884092814088,0.340700150447977,0.524382802055243,0.491705886826605,0.444719536128335,0.342228061826974,0.309183373824009,-0.595169370283678,0.109837165409189,-0.21864474862694,0.432499103628333,0.0191222359789698,0.425347783178822,0.166467739154261,0.301815442014545,0.0029726138210393,0.360104228702984,0.0394884890457785,0.147098685372193,0.0806173769275878,0.179679856799067,0.33806585994729,0.00556426416121974,0.759948334808369,0.420619226715105,0.128153690502053
"ABCC4",-0.221544104070514,-0.0361352653382364,-0.184272542626485,0.369235864153726,-0.321201808932726,-0.664840027720532,-0.427018780829355,0.0414861784150838,-0.281019658806208,-0.383593952312452,-0.336425661827731,0.439050849694757,-0.268133759486504,-0.44453958410306,-0.252360593637835,0.477762514356905,0.946597392510728,0.279040909486237,0.215333105788907,0.246476009211668,0.0583876729207689,0.00715727036433431,0.906507754071702,0.324639054117711,0.0149551572590819,0.247544983932288,0.0759394523612737,0.391515265810822,0.00585459751526985,0.286872457148319
