Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
sample015,0.0977289152081353,0,0.107437213561756,0.0338331201581381,0.841685132532858,0.0998208349225282,0.199897858505642,0,0,0,0.673835618419571,0,0.0146766481174078,0.00121547637051768,0,0.0304625067044965,0,0.0979695742522789,0,0.0483300936814471,0.0012936824244392,0.409151304408718,0,0.78511228527807,0.667815551664822,2.65733797926793
sample017,0.0763420774479607,0,0.181745360130701,0.0225323327927712,0.746348140175354,0.0104630995328886,0.214446167509019,0,0,0,0.55241432467757,0,0.126398944302408,0,0,0.0256739818186712,0,0.217107308004075,0.00769707903293211,0.00285338049287324,0,0.295952398093109,0,0.791478186318821,0.682643644857684,2.47997459401033
sample018,0.0626005326060158,0,0.119681024419267,0.118606349730147,0.591271895535908,0,0.161840949456654,0,0.0485801472153699,0,0.728754565310179,0,0.0692983822473576,0,0,0.127329848808314,0,0.357947414150099,0,0,0,0.368833164220409,0,0.820317193139673,0.657117085080448,2.75474427369972
sample019,0.0548453021115017,0,0.0658573844036029,0.0894110744612387,0.687804442846502,0,0.143234595036424,0,0.0110414762484616,0,0.756031945629675,0,0.0995869783763783,0,0,0.0518709134194818,0,0.219887374801781,0.0852785792143298,0,0,0.409753510780639,0,0.823466614910531,0.644838335998314,2.67460357733002
sample020,0.138410079944206,0,0.915172020917734,0,0.593653075864714,0,0.211523503773924,0,0.118668987487758,0.00791289725838592,0.339537272946844,0,0,0.0114523529467402,0,0,0,0.187228207584991,0.0648810048566437,0,0.022841174551401,0.2210698566785,0,0.874137872267815,0.602263817580115,2.83235043481184
sample021,0.215410039257151,0,0.929707433554238,0,0.432143305662041,0,0.201347704395819,0,0.138977305859487,0,0.329656683498144,0,0,0,0,0.0453151976304656,0,0.158715270886178,0.0539217992536034,0,0,0.23531104309883,0,0.857622232423679,0.606224884361086,2.74050578309596
sample022,0.0420801016783299,0,0.105934308872674,0.135774578328369,0.525707187889851,0.292128333242944,0.18593207907882,0,0.0151303622301669,0,0.830201021717421,0,0,0.0236493348962042,0,0,0,0.0745790261602843,0,0.142855643130168,0,0.625033890143331,0,0.774708724274914,0.671588289181657,2.99900586736856
sample024,0.034068231083659,0,0.149742217687428,0.223610673013437,0.568046479305616,0.106541710183348,0.0956407785013451,0,0,0,0.871651429960361,0,0.166960912813848,0,0,0.0466193301110998,0,0.368749919742528,0,0.101873219678731,0.00214167628568717,0.254937098061986,0,0.772137008644887,0.686303037316969,2.99058367642908
sample025,0.0753263682326008,0,0.0881992770145708,0.487604335084778,0.414053705437937,0,0.173652969266812,0,0.0129660896954359,0,0.939752219628236,0,0.114315742121806,0,0,0.026316080833877,0,0.167490079605674,0,0.056370226893914,0,0.28817913200097,0,0.783525505432323,0.65619721160651,2.84422622581661
sample026,0.0841615634578987,0,0.0940512983525894,0.390410011366629,0.3965691008665,0.108907192887043,0.0698977239634481,0,0.0445372302767098,0,0.943740160647744,0,0.0749199935446004,0,0,0,0,0.28987496529384,0,0.0711543563505669,0,0.677110494646244,0,0.808467168378018,0.641733248238036,3.24533409165381
