"Gene","lfc","padj","Significant","Regulation","Species","Daterange"
"ACSL3",-0.189390160363186,0.00049383118322059,FALSE,"None","Cyno","4"
"ACSL4",-0.190951064760513,0.0679318712166978,FALSE,"None","Cyno","4"
"ACSL5",-0.345576621608789,0.363032162434248,FALSE,"None","Cyno","4"
"ACSM1",-0.0680068688621379,0.896450337718799,FALSE,"None","Cyno","4"
"ACSM3",0.12076662519272,0.158822250678562,FALSE,"None","Cyno","4"
"ACSM4",-0.0839582354109045,0.637137380395295,FALSE,"None","Cyno","4"
"ACSS1",0.184983693656164,0.0314653115020087,FALSE,"None","Cyno","4"
"ACSS2",0.170953014122391,0.672293102868153,FALSE,"None","Cyno","4"
"ACSS3",0.198549958089505,0.657491759450452,FALSE,"None","Cyno","4"
"ACTA1",0.0930247640512189,0.764447169142378,FALSE,"None","Cyno","4"
"ACTA2",-0.516204122087509,0.0388132887193198,FALSE,"None","Cyno","4"
"ACTB",0.457847748498548,0.116065929913452,FALSE,"None","Cyno","4"
"ACTG1",0.318950817926987,0.171654129621267,FALSE,"None","Cyno","4"
"ACTG2",0.151372539803831,0.383374149314764,FALSE,"None","Cyno","4"
"ACTL6A",-0.56836809580003,0.0150581133205181,FALSE,"None","Cyno","4"
"ACTL6B",0.019360364963562,0.828816638098364,FALSE,"None","Cyno","4"
"ACTL7A",0.133708605184082,0.186945890587255,FALSE,"None","Cyno","4"
"ACTL7B",0.073572825488784,0.483652281064341,FALSE,"None","Cyno","4"
"ACTMAP",0.563072611851284,0.000159281170342172,FALSE,"None","Cyno","4"
"ACTN1",0.332646322054733,0.163505427776031,FALSE,"None","Cyno","4"
"ACTN2",-0.087574821613659,0.456020520222022,FALSE,"None","Cyno","4"
"ACTN3",0.500158069269587,0.242054171857052,FALSE,"None","Cyno","4"
"ACTN4",0.284415703194155,0.175009071064658,FALSE,"None","Cyno","4"
"ACTR10",-0.511357574445548,3.1173762110977e-05,FALSE,"None","Cyno","4"
"ACTR1A",0.295805979987174,0.157179504288342,FALSE,"None","Cyno","4"
"ACTR1B",0.245340676689584,0.399272096607397,FALSE,"None","Cyno","4"
"ACTR2",-0.101602842377012,0.403729933476231,FALSE,"None","Cyno","4"
"ACTR3",-0.672502668081938,0.0016706676551612,FALSE,"None","Cyno","4"
"ACTR3B",-0.0349157551396005,0.449027582319912,FALSE,"None","Cyno","4"
"ACTR5",-0.251887874167274,0.353902504104571,FALSE,"None","Cyno","4"
"ACTR6",-0.98162326437108,0.000333697908341596,FALSE,"None","Cyno","4"
