"Gene","lfc","padj","Significant","Regulation","Species","Strain","Daterange"
"ACOT12",0.0188224791342677,0.972834070976109,FALSE,"None","Cyno","9530537","4"
"ACOT7",-0.37031985460342,0.07712558457656,FALSE,"None","Cyno","9530537","4"
"ACOT8",0.18578300616027,0.406578980822426,FALSE,"None","Cyno","9530537","4"
"ACOT9",0.261580348215364,0.202919038685629,FALSE,"None","Cyno","9530537","4"
"ACOX2",-0.313348777829183,0.385253795154207,FALSE,"None","Cyno","9530537","4"
"ACOX3",-0.200811177082057,0.412725828704204,FALSE,"None","Cyno","9530537","4"
"ACOXL",0.197727314859809,0.485678334883982,FALSE,"None","Cyno","9530537","4"
"ACP1",0.0477418296119526,0.924225976676829,FALSE,"None","Cyno","9530537","4"
"ACP2",0.520038333112525,0.0349618349796694,FALSE,"None","Cyno","9530537","4"
"ACP3",1.7119449060349,5.26721295493982e-11,FALSE,"None","Cyno","9530537","4"
"ACP5",-0.0679877499599427,0.892529009708253,FALSE,"None","Cyno","9530537","4"
"ACP6",-0.10233733742515,0.650639539127212,FALSE,"None","Cyno","9530537","4"
"ACP7",0.181636540012653,0.658317870630153,FALSE,"None","Cyno","9530537","4"
"ACRBP",0.871058949484208,0.00527639352790916,FALSE,"None","Cyno","9530537","4"
"ACRV1",-0.421104495556812,0.270157780771643,FALSE,"None","Cyno","9530537","4"
"ACSBG1",0.311640087737313,0.377116324707404,FALSE,"None","Cyno","9530537","4"
"ACSBG2",-0.149739033031654,0.720751457712601,FALSE,"None","Cyno","9530537","4"
"ACSF2",-0.328518720303782,0.0355832094937377,FALSE,"None","Cyno","9530537","4"
"ACSF3",-0.196952745409602,0.55490938540391,FALSE,"None","Cyno","9530537","4"
"ACSL1",0.120808440625748,0.782003449949251,FALSE,"None","Cyno","9530537","4"
"ACSL3",-0.113798360071669,0.773193576295284,FALSE,"None","Cyno","9530537","4"
"ACSL4",0.33423317059056,0.222369961998619,FALSE,"None","Cyno","9530537","4"
"ACSL5",0.535120576411857,0.000323559396402385,FALSE,"None","Cyno","9530537","4"
"ACSM1",0.0507744557446801,0.9159707808974,FALSE,"None","Cyno","9530537","4"
"ACSM3",-0.172881038682428,0.623154240662299,FALSE,"None","Cyno","9530537","4"
"ACSM4",0.167136191012495,0.647135217213755,FALSE,"None","Cyno","9530537","4"
"ACSS1",-0.233567796530326,0.364548783826036,FALSE,"None","Cyno","9530537","4"
"ACSS2",-0.12466471065253,0.769898589981934,FALSE,"None","Cyno","9530537","4"
"ACSS3",-0.187652742744964,0.606834330922229,FALSE,"None","Cyno","9530537","4"
"ACTA1",-0.0818331229874325,0.838710402509073,FALSE,"None","Cyno","9530537","4"
"ACTA2",1.07098519738557,9.53463107001866e-05,FALSE,"None","Cyno","9530537","4"
"ACTB",-0.01940326743031,0.967767343622276,FALSE,"None","Cyno","9530537","4"
